TIME, TIME ELAPSED (s), CONTAINER ID, NAME, CPU %, MEM USAGE / LIMIT, MEM %, NET I/O, BLOCK I/O, PIDS
06:14:08,2.5304,c853df77a32c,kimera_container,4.85%,239.4MiB / 15.47GiB,1.51%,0B / 0B,773MB / 152kB,40
06:14:12,6.206237,c853df77a32c,kimera_container,98.69%,383.8MiB / 15.47GiB,2.42%,0B / 0B,773MB / 152kB,40
06:14:15,9.861414,c853df77a32c,kimera_container,103.83%,384.6MiB / 15.47GiB,2.43%,0B / 0B,773MB / 152kB,40
06:14:19,13.532259,c853df77a32c,kimera_container,106.56%,418.7MiB / 15.47GiB,2.64%,0B / 0B,773MB / 152kB,49
06:14:23,17.191109,c853df77a32c,kimera_container,107.28%,431.8MiB / 15.47GiB,2.73%,0B / 0B,773MB / 152kB,40
06:14:26,20.845928,c853df77a32c,kimera_container,103.38%,439.2MiB / 15.47GiB,2.77%,0B / 0B,773MB / 152kB,40
06:14:30,24.497576,c853df77a32c,kimera_container,91.61%,455.2MiB / 15.47GiB,2.87%,0B / 0B,773MB / 152kB,40
06:14:34,28.151745,c853df77a32c,kimera_container,84.39%,463.5MiB / 15.47GiB,2.93%,0B / 0B,773MB / 152kB,40
06:14:37,31.808335,c853df77a32c,kimera_container,74.24%,505.8MiB / 15.47GiB,3.19%,0B / 0B,773MB / 152kB,40
06:14:40,34.462737,c853df77a32c,kimera_container,89.03%,534.1MiB / 15.47GiB,3.37%,0B / 0B,773MB / 152kB,40
06:14:44,38.138591,c853df77a32c,kimera_container,85.63%,526.4MiB / 15.47GiB,3.32%,0B / 0B,773MB / 152kB,40
06:14:47,41.793998,c853df77a32c,kimera_container,99.41%,556.5MiB / 15.47GiB,3.51%,0B / 0B,773MB / 152kB,40
06:14:51,45.458636,c853df77a32c,kimera_container,128.40%,567.6MiB / 15.47GiB,3.58%,0B / 0B,773MB / 152kB,40
06:14:55,49.138198,c853df77a32c,kimera_container,119.57%,597.1MiB / 15.47GiB,3.77%,0B / 0B,773MB / 152kB,43
06:14:58,52.801056,c853df77a32c,kimera_container,97.12%,617.2MiB / 15.47GiB,3.90%,0B / 0B,773MB / 152kB,40
06:15:02,56.457406,c853df77a32c,kimera_container,121.96%,642.9MiB / 15.47GiB,4.06%,0B / 0B,773MB / 152kB,40
06:15:06,60.113955,c853df77a32c,kimera_container,80.20%,651.6MiB / 15.47GiB,4.11%,0B / 0B,773MB / 152kB,40
06:15:09,63.789857,c853df77a32c,kimera_container,66.92%,651.7MiB / 15.47GiB,4.11%,0B / 0B,773MB / 152kB,40
06:15:12,66.451682,c853df77a32c,kimera_container,58.31%,669.6MiB / 15.47GiB,4.23%,0B / 0B,773MB / 152kB,45
06:15:16,70.10837,c853df77a32c,kimera_container,88.86%,666.7MiB / 15.47GiB,4.21%,0B / 0B,773MB / 152kB,40
06:15:19,73.766436,c853df77a32c,kimera_container,82.50%,680.3MiB / 15.47GiB,4.30%,0B / 0B,773MB / 152kB,40
06:15:23,77.420638,c853df77a32c,kimera_container,77.66%,730MiB / 15.47GiB,4.61%,0B / 0B,773MB / 152kB,40
06:15:27,81.077786,c853df77a32c,kimera_container,86.00%,712.4MiB / 15.47GiB,4.50%,0B / 0B,773MB / 152kB,40
06:15:30,84.740107,c853df77a32c,kimera_container,122.42%,729MiB / 15.47GiB,4.60%,0B / 0B,773MB / 152kB,52
06:15:34,88.412676,c853df77a32c,kimera_container,103.85%,704.7MiB / 15.47GiB,4.45%,0B / 0B,773MB / 152kB,40
06:15:38,92.075293,c853df77a32c,kimera_container,95.88%,703.3MiB / 15.47GiB,4.44%,0B / 0B,773MB / 152kB,40
06:15:41,95.730961,c853df77a32c,kimera_container,83.61%,699.5MiB / 15.47GiB,4.42%,0B / 0B,773MB / 152kB,40
06:15:45,99.394378,c853df77a32c,kimera_container,96.01%,707.9MiB / 15.47GiB,4.47%,0B / 0B,773MB / 152kB,40
06:15:49,103.049765,c853df77a32c,kimera_container,83.43%,703.3MiB / 15.47GiB,4.44%,0B / 0B,773MB / 152kB,40
06:15:52,106.704216,c853df77a32c,kimera_container,92.90%,701.6MiB / 15.47GiB,4.43%,0B / 0B,773MB / 152kB,40
06:15:56,110.360371,c853df77a32c,kimera_container,91.74%,706.4MiB / 15.47GiB,4.46%,0B / 0B,774MB / 152kB,40
06:15:59,114.024194,c853df77a32c,kimera_container,86.12%,710.4MiB / 15.47GiB,4.49%,0B / 0B,774MB / 152kB,40
06:16:03,117.689755,c853df77a32c,kimera_container,82.52%,729.9MiB / 15.47GiB,4.61%,0B / 0B,774MB / 152kB,40
06:16:07,121.356184,c853df77a32c,kimera_container,106.25%,753.7MiB / 15.47GiB,4.76%,0B / 0B,774MB / 152kB,40
06:16:10,125.009969,c853df77a32c,kimera_container,89.18%,755.1MiB / 15.47GiB,4.77%,0B / 0B,774MB / 152kB,40
06:16:14,128.664579,c853df77a32c,kimera_container,86.31%,781.1MiB / 15.47GiB,4.93%,0B / 0B,774MB / 152kB,40
06:16:18,132.325706,c853df77a32c,kimera_container,66.98%,781.5MiB / 15.47GiB,4.93%,0B / 0B,774MB / 152kB,40
