TIME, TIME ELAPSED (s), CONTAINER ID, NAME, CPU %, MEM USAGE / LIMIT, MEM %, NET I/O, BLOCK I/O, PIDS
06:00:06,2.603202,c853df77a32c,kimera_container,10.57%,195.1MiB / 15.47GiB,1.23%,0B / 0B,651MB / 147kB,60
06:00:10,6.319522,c853df77a32c,kimera_container,62.45%,287.1MiB / 15.47GiB,1.81%,0B / 0B,652MB / 147kB,60
06:00:14,9.983071,c853df77a32c,kimera_container,153.43%,409MiB / 15.47GiB,2.58%,0B / 0B,652MB / 147kB,60
06:00:17,13.645313,c853df77a32c,kimera_container,147.78%,422.1MiB / 15.47GiB,2.67%,0B / 0B,652MB / 147kB,60
06:00:21,17.311404,c853df77a32c,kimera_container,155.16%,407.5MiB / 15.47GiB,2.57%,0B / 0B,652MB / 147kB,60
06:00:25,20.99084,c853df77a32c,kimera_container,143.49%,413.3MiB / 15.47GiB,2.61%,0B / 0B,652MB / 147kB,60
06:00:28,24.688821,c853df77a32c,kimera_container,143.43%,428.8MiB / 15.47GiB,2.71%,0B / 0B,652MB / 147kB,60
06:00:32,28.401348,c853df77a32c,kimera_container,163.50%,438.3MiB / 15.47GiB,2.77%,0B / 0B,652MB / 147kB,60
06:00:36,32.089705,c853df77a32c,kimera_container,203.45%,416.1MiB / 15.47GiB,2.63%,0B / 0B,652MB / 147kB,60
06:00:39,35.745194,c853df77a32c,kimera_container,137.17%,417.5MiB / 15.47GiB,2.64%,0B / 0B,652MB / 147kB,60
06:00:43,39.402854,c853df77a32c,kimera_container,143.58%,433.2MiB / 15.47GiB,2.74%,0B / 0B,652MB / 147kB,60
06:00:47,43.058625,c853df77a32c,kimera_container,151.78%,423.3MiB / 15.47GiB,2.67%,0B / 0B,652MB / 147kB,60
06:00:50,46.726005,c853df77a32c,kimera_container,156.44%,428.2MiB / 15.47GiB,2.70%,0B / 0B,652MB / 147kB,60
06:00:54,50.381932,c853df77a32c,kimera_container,142.72%,452.8MiB / 15.47GiB,2.86%,0B / 0B,652MB / 147kB,60
06:00:58,54.047474,c853df77a32c,kimera_container,142.77%,461.4MiB / 15.47GiB,2.91%,0B / 0B,652MB / 147kB,60
06:01:01,57.712583,c853df77a32c,kimera_container,138.46%,444.2MiB / 15.47GiB,2.80%,0B / 0B,652MB / 147kB,60
06:01:05,61.366262,c853df77a32c,kimera_container,138.92%,443.6MiB / 15.47GiB,2.80%,0B / 0B,652MB / 147kB,60
06:01:09,65.024507,c853df77a32c,kimera_container,134.81%,456.9MiB / 15.47GiB,2.88%,0B / 0B,652MB / 147kB,63
06:01:12,68.689084,c853df77a32c,kimera_container,133.11%,442.8MiB / 15.47GiB,2.80%,0B / 0B,652MB / 147kB,60
06:01:16,72.348606,c853df77a32c,kimera_container,152.21%,432.8MiB / 15.47GiB,2.73%,0B / 0B,652MB / 147kB,60
06:01:20,76.005178,c853df77a32c,kimera_container,146.29%,428.9MiB / 15.47GiB,2.71%,0B / 0B,652MB / 147kB,60
06:01:23,79.66487,c853df77a32c,kimera_container,145.34%,443.2MiB / 15.47GiB,2.80%,0B / 0B,652MB / 147kB,60
06:01:27,83.338694,c853df77a32c,kimera_container,145.26%,413.2MiB / 15.47GiB,2.61%,0B / 0B,652MB / 147kB,60
06:01:30,85.992637,c853df77a32c,kimera_container,158.97%,417.5MiB / 15.47GiB,2.64%,0B / 0B,652MB / 147kB,60
06:01:33,89.662202,c853df77a32c,kimera_container,143.30%,411.5MiB / 15.47GiB,2.60%,0B / 0B,652MB / 147kB,60
06:01:37,93.322282,c853df77a32c,kimera_container,136.84%,405.2MiB / 15.47GiB,2.56%,0B / 0B,652MB / 147kB,60
06:01:41,96.979405,c853df77a32c,kimera_container,137.69%,401.3MiB / 15.47GiB,2.53%,0B / 0B,652MB / 147kB,60
06:01:44,100.641486,c853df77a32c,kimera_container,140.32%,423.3MiB / 15.47GiB,2.67%,0B / 0B,652MB / 147kB,60
06:01:48,104.308638,c853df77a32c,kimera_container,145.96%,402.6MiB / 15.47GiB,2.54%,0B / 0B,652MB / 147kB,60
06:01:52,107.97176,c853df77a32c,kimera_container,152.89%,399.7MiB / 15.47GiB,2.52%,0B / 0B,652MB / 147kB,60
06:01:55,111.659094,c853df77a32c,kimera_container,146.73%,409.1MiB / 15.47GiB,2.58%,0B / 0B,652MB / 147kB,60
06:01:59,115.345282,c853df77a32c,kimera_container,154.69%,411MiB / 15.47GiB,2.60%,0B / 0B,652MB / 147kB,60
06:02:03,119.027173,c853df77a32c,kimera_container,162.07%,433MiB / 15.47GiB,2.73%,0B / 0B,652MB / 147kB,60
06:02:06,122.682247,c853df77a32c,kimera_container,145.65%,417.6MiB / 15.47GiB,2.64%,0B / 0B,652MB / 147kB,60
06:02:10,126.336702,c853df77a32c,kimera_container,144.47%,427.8MiB / 15.47GiB,2.70%,0B / 0B,652MB / 147kB,60
06:02:14,129.990769,c853df77a32c,kimera_container,131.77%,423.3MiB / 15.47GiB,2.67%,0B / 0B,652MB / 147kB,60
06:02:17,133.648252,c853df77a32c,kimera_container,130.55%,428.2MiB / 15.47GiB,2.70%,0B / 0B,652MB / 147kB,60
